line,station,property_name,bedrooms,livingrooms,building_area,directions1,directions2,decoration,has_elevator,hml,building_height,building_year,building_style,building_location,price_sqm,price_ttl,house,house2
12号线,龙漕路,漕溪四村,2,1,73.74,南,,简装,0,高,6,1986,板楼,万体馆,72960,538,0,0
5号线南延伸段,西渡,浦江花园,3,2,134.84,南,,简装,0,高,6,1999,板楼,西渡,22249,300,0,0
4号线,中山公园,长新小区(长宁),2,0,57.38,东南,,简装,1,高,18,1989,塔楼,中山公园,74940,430,0,0
10号线(新江湾城-虹桥火车站),南京东路,中福城,3,2,184.69,南,,精装,1,中,27,2005,板楼,南京东路,97461,1800,0,0
12号线,大木桥路,春江小区(卢湾),2,0,49.94,南,,简装,0,中,5,1984,板楼,世博滨江,75091,375,0,0
9号线,蓝天路,金杨新村四街坊,2,1,70.51,南,,简装,0,高,6,1995,板楼,金杨,58148,410,0,0
9号线,台儿庄路,金巷小区,2,1,73.32,西南,,精装,1,中,24,2002,塔楼,金桥,42963,315,0,0
9号线,商城路,梅园四街坊,1,1,49.23,南,,精装,0,高,6,1988,板楼,源深,107658,530,0,0
10号线(新江湾城-航中路),龙溪路,东湖小区,2,2,72.38,南,,简装,0,低,3,1997,板楼,古北,78752,570,0,0
13号线,长寿路,乐怡苑(普陀),1,1,29.59,东,,精装,0,中,7,1989,板楼,长寿路,69957,207,0,0
13号线,新天地,公馆77,4,2,174.97,南,,精装,1,低,26,2012,板楼,老西门,102875,1800,0,0
13号线,金运路,澜茵华庭,2,2,75.52,南,,精装,1,高,11,2005,板楼,江桥,46346,350,0,0
6号线,源深体育中心,巨洋豪园,3,2,145.85,南,,精装,1,中,27,2006,板楼,源深,75420,1100,0,0
4号线,宝山路,弘丰新苑,2,1,86.27,南,,简装,1,高,7,1997,板楼,四川北路,60856,525,0,0
2号线,上海科技馆,花木苑,3,2,93,南,北,精装,0,低,6,2000,板楼,花木,73119,680,0,0
7号线,高科西路,东明苑,2,1,78.1,南,,简装,1,高,24,1998,塔楼,世博,60180,470,0,0
12号线,曲阜路,联富假日公寓,1,1,51.63,南,,简装,1,中,24,2007,塔楼,西藏北路,81349,420,0,0
7号线,昌平路,君悦静安,1,1,54.85,北,,精装,1,高,22,2004,塔楼,曹家渡,89335,490,0,0
